0.030562,-0.20128,0.0054436,-0.94116,-0.51586,0.0054436,-1.8113,-0.52528,0.0054436,-2.7385,-0.52612,0.0054436,-3.7543,-0.5205,0.0054436,-4.9544,-0.51932,0.0054436,-5.8324,-0.51586,0.0054436,-6.6691,-0.31667,0.0054436
0.030911,-0.2032,0.0062969,-0.94092,-0.51602,0.0062969,-1.8112,-0.52539,0.0062969,-2.7383,-0.52618,0.0062969,-3.7542,-0.52051,0.0062969,-4.9543,-0.5193,0.0062969,-5.8322,-0.51574,0.0062969,-6.6688,-0.31522,0.0062969
0.030954,-0.20468,0.0069643,-0.94096,-0.51616,0.0069643,-1.8112,-0.52545,0.0069643,-2.7383,-0.52621,0.0069643,-3.7542,-0.52053,0.0069643,-4.9544,-0.51931,0.0069643,-5.8322,-0.51568,0.0069643,-6.6688,-0.31408,0.0069643
0.030785,-0.20563,0.0074813,-0.94118,-0.51627,0.0074813,-1.8115,-0.52546,0.0074813,-2.7385,-0.52621,0.0074813,-3.7545,-0.52054,0.0074813,-4.9546,-0.51934,0.0074813,-5.8324,-0.51568,0.0074813,-6.669,-0.31336,0.0074813
0.030476,-0.2059,0.0078612,-0.9415,-0.51629,0.0078612,-1.8118,-0.52541,0.0078612,-2.7389,-0.52617,0.0078612,-3.7548,-0.52055,0.0078612,-4.955,-0.5194,0.0078612,-5.8327,-0.51574,0.0078612,-6.6693,-0.31311,0.0078612
0.030103,-0.20581,0.0080951,-0.94188,-0.51627,0.0080951,-1.8122,-0.52533,0.0080951,-2.7392,-0.52611,0.0080951,-3.7552,-0.52055,0.0080951,-4.9553,-0.51945,0.0080951,-5.8331,-0.51582,0.0080951,-6.6697,-0.31317,0.0080951
0.029724,-0.20542,0.0082058,-0.94223,-0.51625,0.0082058,-1.8125,-0.52526,0.0082058,-2.7396,-0.52607,0.0082058,-3.7555,-0.52056,0.0082058,-4.9557,-0.5195,0.0082058,-5.8334,-0.5159,0.0082058,-6.6701,-0.31343,0.0082058
0.029403,-0.20481,0.0082364,-0.94253,-0.51618,0.0082364,-1.8128,-0.52517,0.0082364,-2.7399,-0.52601,0.0082364,-3.7558,-0.52055,0.0082364,-4.956,-0.51956,0.0082364,-5.8337,-0.51601,0.0082364,-6.6704,-0.31391,0.0082364
0.029136,-0.2041,0.0082205,-0.94275,-0.5161,0.0082205,-1.813,-0.52508,0.0082205,-2.7401,-0.52595,0.0082205,-3.756,-0.52054,0.0082205,-4.9562,-0.51959,0.0082205,-5.834,-0.51609,0.0082205,-6.6706,-0.31439,0.0082205
0.02896,-0.20351,0.0081706,-0.9429,-0.51605,0.0081706,-1.8131,-0.52502,0.0081706,-2.7402,-0.52592,0.0081706,-3.7562,-0.52054,0.0081706,-4.9563,-0.51961,0.0081706,-5.8341,-0.51614,0.0081706,-6.6708,-0.31486,0.0081706
0.028854,-0.20294,0.0081272,-0.94297,-0.516,0.0081272,-1.8132,-0.52498,0.0081272,-2.7403,-0.52589,0.0081272,-3.7562,-0.52053,0.0081272,-4.9563,-0.51962,0.0081272,-5.8342,-0.51618,0.0081272,-6.6709,-0.31524,0.0081272
0.028837,-0.20253,0.0080914,-0.94297,-0.51596,0.0080914,-1.8132,-0.52495,0.0080914,-2.7403,-0.52587,0.0080914,-3.7562,-0.52053,0.0080914,-4.9563,-0.51962,0.0080914,-5.8342,-0.5162,0.0080914,-6.6709,-0.31557,0.0080914
0.028866,-0.20221,0.0080982,-0.94291,-0.51594,0.0080982,-1.8131,-0.52494,0.0080982,-2.7402,-0.52587,0.0080982,-3.7561,-0.52052,0.0080982,-4.9562,-0.51961,0.0080982,-5.8341,-0.5162,0.0080982,-6.6708,-0.31576,0.0080982
